,States_UTs,Domestic,Commercial,Industrial_LV,Industrial_HV,Public_Light,Traction,Agriculture,Public_Water,Miscellaneous,Total
0,Andaman & Nicobar Islands,119204.0,19659.0,478.0,0.0,754.0,0.0,469.0,0.0,1679.0,142243.0
1,Andhra Pradesh,15179521.0,1589239.0,116735.0,6471.0,110889.0,69.0,1801831.0,64339.0,261225.0,19130319.0
2,Arunachal Pradesh1,245884.0,27227.0,207.0,89.0,0.0,0.0,20.0,1411.0,262.0,275100.0
3,Assam,5501765.0,282682.0,18874.0,4514.0,1955.0,0.0,33340.0,4679.0,53770.0,5901579.0
4,Bihar,14541124.0,893570.0,105242.0,3040.0,2420.0,5.0,314606.0,14079.0,3224.0,15877310.0
5,Chandigarh,202822.0,26062.0,2717.0,99.0,1335.0,0.0,120.0,0.0,1474.0,234629.0
6,Chhattisgarh,4788909.0,353386.0,34571.0,1945.0,7431.0,24.0,545179.0,27557.0,0.0,5759002.0
7,Dadra & Nagar Haveli,69304.0,8061.0,2191.0,916.0,411.0,0.0,1286.0,460.0,334.0,82963.0
8,Daman & Diu,49924.0,7413.0,1783.0,762.0,637.0,0.0,1257.0,104.0,630.0,62510.0
9,Delhi,5170067.0,985274.0,43254.0,443.0,13434.0,10.0,10693.0,2254.0,16558.0,6241987.0
10,Goa,532392.0,99753.0,6167.0,849.0,215.0,0.0,11972.0,0.0,5258.0,656606.0
11,Gujarat,13844146.0,2122676.0,424669.0,18389.0,48620.0,16.0,1779445.0,96273.0,63084.0,18397318.0
12,Haryana,5471805.0,695518.0,96637.0,16593.0,3897.0,104.0,646512.0,22192.0,547.0,6953805.0
13,Himachal Pradesh,2097088.0,286182.0,30521.0,3858.0,1123.0,0.0,33375.0,7501.0,45157.0,2504805.0
14,India,252001024.0,28146658.0,3627260.0,180697.0,1514654.0,754.0,25418693.0,784664.0,2748800.0,314423204.0
15,Jammu & Kashmir2,1753548.0,228694.0,20329.0,852.0,329.0,0.0,21754.0,2680.0,11738.0,2039924.0
16,Jharkhand,3837256.0,250918.0,17443.0,2373.0,853.0,3.0,61959.0,0.0,150.0,4170955.0
17,Karnataka,19505160.0,2308977.0,476324.0,18598.0,155534.0,180.0,3081202.0,207156.0,1036840.0,26789971.0
18,Kerala,9917001.0,2302910.0,141802.0,2565.0,41479.0,20.0,476551.0,11.0,2184.0,12884523.0
19,Lakshadweep,19975.0,4217.0,346.0,0.0,75.0,0.0,0.0,0.0,225.0,24838.0
20,Madhya Pradesh,11895502.0,1076219.0,127540.0,5682.0,20287.0,11.0,3087266.0,45120.0,3605.0,16261232.0
21,Maharashtra,24200386.0,2738088.0,432788.0,14482.0,100063.0,105.0,4291981.0,56125.0,167286.0,32001304.0
22,Manipur1,488527.0,21899.0,2897.0,101.0,989.0,0.0,66.0,211.0,760.0,515450.0
23,Meghalaya,469517.0,28951.0,695.0,140.0,57.0,0.0,112.0,463.0,2630.0,502565.0
24,Mizoram,211742.0,17899.0,854.0,196.0,1192.0,0.0,0.0,70.0,21539.0,253492.0
25,Nagaland1,279467.0,23081.0,4918.0,0.0,645.0,0.0,1.0,39.0,2040.0,310191.0
26,Odisha,8516668.0,403729.0,25770.0,1947.0,7400.0,37.0,126301.0,11492.0,53264.0,9146608.0
27,Puducherry,360688.0,56656.0,6842.0,557.0,52688.0,0.0,6973.0,147.0,35542.0,520093.0
28,Punjab,7061124.0,1117276.0,116187.0,12329.0,4599.0,0.0,1385549.0,15054.0,582.0,9712700.0
29,Rajasthan,12416813.0,1292567.0,199746.0,28080.0,21108.0,0.0,1540157.0,76002.0,53166.0,15627639.0
30,Sikkim,101673.0,11827.0,385.0,774.0,30.0,0.0,0.0,0.0,1819.0,116508.0
31,Tamil Nadu,23118564.0,3431581.0,710771.0,6482.0,746048.0,35.0,2121773.0,0.0,618764.0,30754018.0
32,Telangana,10919813.0,1315243.0,84611.0,7561.0,111720.0,46.0,2369073.0,71135.0,67802.0,14947004.0
33,Tripura,790043.0,66277.0,4926.0,878.0,2324.0,0.0,7159.0,7146.0,2718.0,881471.0
34,Uttar Pradesh,25544387.0,1543316.0,181696.0,12256.0,4167.0,9.0,1294560.0,20970.0,207986.0,28809347.0
35,Uttarakhand,2215712.0,263916.0,12106.0,2190.0,2346.0,2.0,39364.0,1966.0,82.0,2537684.0
36,West Bengal,20563503.0,2245715.0,174238.0,4686.0,47600.0,78.0,326787.0,28028.0,4876.0,23395511.0
