,States_UTs,Domestic,Commercial,Industrial_LV,Industrial_HV,Public_Light,Traction,Agriculture,Public_Water,Miscellaneous,Total
0,Andaman and Nicobar Islands,97738.0,16799.0,514.0,0.0,626.0,0.0,226.0,0.0,1143.0,117046.0
1,Andhra Pradesh,16782546.0,2083481.0,235613.0,10724.0,154977.0,65.0,3271310.0,65941.0,180160.0,22784817.0
2,Arunachal Pradesh ,144925.0,18769.0,255.0,7.0,1894.0,0.0,0.0,24663.0,24758.0,215271.0
3,Assam,2666178.0,190317.0,11878.0,3761.0,1333.0,0.0,9846.0,3639.0,34500.0,2921452.0
4,Bihar,3773077.0,279879.0,18816.0,1317.0,399.0,17.0,57838.0,1098.0,1.0,4132442.0
5,Chhattisgarh,3359729.0,262412.0,30541.0,1454.0,4830.0,21.0,369455.0,13130.0,23.0,4041595.0
6,Dadra and Nagar Haveli ,49255.0,6946.0,1849.0,863.0,237.0,0.0,1078.0,197.0,177.0,60602.0
7,Daman and Diu,43962.0,7972.0,1799.0,794.0,339.0,0.0,1191.0,77.0,1.0,56135.0
8,Delhi,3931548.0,832160.0,52279.0,185.0,7762.0,10.0,8952.0,4917.0,18222.0,4856035.0
9,Goa,455471.0,94471.0,9657.0,694.0,895.0,0.0,11067.0,770.0,36.0,573061.0
10,Gujarat,11741438.0,1663376.0,405723.0,11699.0,32264.0,29.0,1076271.0,59388.0,2270.0,14992458.0
11,Haryana,4160792.0,522110.0,82730.0,11080.0,1878.0,385.0,288773.0,18577.0,293827.0,5380152.0
12,Himachal Pradesh,1804220.0,238424.0,29942.0,4500.0,896.0,0.0,5531.0,2586.0,57472.0,2143571.0
13,Jammu and Kashmir ,1274885.0,166059.0,19194.0,695.0,252.0,0.0,17463.0,1970.0,10078.0,1490596.0
14,Jharkhand,2383568.0,148597.0,12898.0,1576.0,557.0,20.0,33449.0,454.0,0.0,2581119.0
15,Karnataka,15213370.0,1687333.0,369896.0,8428.0,118847.0,464.0,2171123.0,127719.0,919326.0,20616506.0
16,Kerala,8832947.0,1816219.0,138398.0,1681.0,3985.0,8.0,463051.0,3.0,310.0,11256602.0
17,Lakshadweep,17503.0,3252.0,232.0,0.0,125.0,0.0,0.0,0.0,0.0,21112.0
18,Madhya Pradesh,8271121.0,796376.0,112954.0,3249.0,15717.0,44.0,1821457.0,31514.0,71538.0,11123970.0
19,Maharashtra,19506124.0,2229619.0,439270.0,13241.0,81879.0,52.0,3648974.0,47831.0,63681.0,26030671.0
20,Manipur ,200913.0,11247.0,2323.0,11.0,493.0,0.0,63.0,161.0,616.0,215827.0
21,Meghalaya,265230.0,21744.0,799.0,151.0,64.0,0.0,23.0,399.0,61896.0,350306.0
22,Mizoram,173907.0,7537.0,688.0,11.0,755.0,0.0,19.0,48.0,13234.0,196199.0
23,Nagaland ,180000.0,18800.0,8200.0,0.0,600.0,0.0,2.0,30.0,700.0,208332.0
24,Odisha,4883240.0,293729.0,23477.0,1518.0,9019.0,30.0,45435.0,7268.0,28791.0,5292507.0
25,Puducherry,272208.0,45311.0,6173.0,500.0,47013.0,0.0,9124.0,49.0,39171.0,419549.0
26,Punjab,5820606.0,938571.0,80300.0,31011.0,3491.0,7.0,1225066.0,12716.0,517.0,8112285.0
27,Rajasthan,8894585.0,1090761.0,220869.0,17963.0,13009.0,10.0,1176711.0,48631.0,33973.0,11496512.0
28,Sikkim ,81508.0,9663.0,721.0,0.0,796.0,0.0,0.0,0.0,415.0,93103.0
29,Tamil Nadu,17219933.0,3287073.0,590302.0,7914.0,404730.0,10.0,2047174.0,227137.0,2087054.0,25871327.0
30,Uttar Pradesh,11791176.0,1204376.0,177861.0,12806.0,7898.0,21.0,948448.0,11937.0,166898.0,14321421.0
31,Uttarakhand,920677.0,181619.0,9270.0,1771.0,644.0,1.0,28048.0,1146.0,77.0,1143253.0
32,West Bengal,14728217.0,1515893.0,154278.0,3930.0,21875.0,70.0,214043.0,7795.0,4229.0,16753224.0
