,States_UTs,Domestic,Commercial,Industrial_LV,Industrial_HV,Public_Light,Traction,Agriculture,Public_Water,Miscellaneous,Total
0,Andaman and Nicobar Islands,99947 ,17231 ,534 ,0 ,627 ,0 ,0 ,255 ,1149 ,119743 
1,Andhra Pradesh,13766211 ,1227869 ,175509 ,6534 ,109159 ,62 ,1536869 ,65926 ,104083 ,16992222 
2,Arunachal Pradesh,144925,18769,255 ,7 ,1894 ,0 ,0 ,24663 ,24758 ,215271 
3,Assam,3298888 ,214686 ,12896 ,4004 ,1576 ,0 ,15506 ,4212 ,39759 ,3592243 
4,Bihar,3773077 ,279879,18816,1317 ,399 ,17 ,57838 ,1098 ,1 ,4132442 
5,Chandigarh,189285 ,22661 ,2524 ,103 ,978 ,0 ,120 ,0 ,1225 ,216896 
6,Chhattisgarh,3727391 ,294325 ,31754 ,1652 ,5584 ,21 ,439628 ,17062 ,33 ,4517450 
7,Dadra and Nagar Haveli,54216 ,7306 ,2038 ,889 ,324 ,0 ,1211 ,340 ,334 ,66658 
8,Daman and Diu,46420 ,8209 ,1817 ,783 ,529 ,0 ,1243 ,125 ,12 ,59138 
9,Delhi,4356889 ,894921 ,52879 ,19 ,16096 ,12 ,9777 ,4862 ,1085 ,5336540 
10,Goa,475784 ,87610 ,8927 ,718 ,3768 ,0 ,7407 ,0 ,4922 ,589136 
11,Gujarat,12441115 ,1771050 ,368395 ,14022 ,37056 ,22 ,1289680 ,74050 ,23550 ,16018940 
12,Haryana,4345365 ,561308 ,85699 ,12162 ,2195 ,402 ,608132 ,19726 ,25657 ,5660646 
13,Himachal Pradesh,1896835 ,252686 ,30497 ,4140 ,842 ,0 ,31562 ,0 ,40404 ,2256966 
14,Jammu and Kashmir,1346021 ,174504 ,19368 ,721 ,259 ,0 ,18877 ,2331 ,10734 ,1572815 
15,Jharkhand,2664693 ,171641 ,13831 ,1625 ,547 ,12 ,41783 ,488 ,36 ,2894656 
16,Karnataka,16638087 ,1910862 ,399753 ,24572 ,129687 ,192 ,2146046 ,147706 ,597191 ,21994096 
17,Kerala,9158319 ,1944557 ,137353 ,1984 ,4708 ,10 ,473931 ,0 ,1123 ,11721985 
18,Lakshadweep,19277 ,3466 ,347 ,0 ,85 ,0 ,0 ,0 ,0 ,23175 
19,Madhya Pradesh,8984814 ,872695 ,167720 ,3927 ,16410 ,21 ,2290456 ,35529 ,23224 ,12394796 
20,Maharashtra,20945728 ,2412542 ,455008 ,13553 ,88714 ,15 ,3967176 ,51116 ,86519 ,28020371 
21,Manipur,279198 ,13439 ,10272 ,97 ,483 ,0 ,63 ,176 ,742 ,296478 
22,Meghalaya,296436 ,23925 ,821 ,144 ,51 ,0 ,27 ,398 ,63243 ,385075 
23,Mizoram,185818 ,14400 ,777 ,21 ,1524 ,0 ,21 ,57 ,12960 ,215676 
24,Nagaland,209019 ,19181 ,2604 ,0 ,600 ,0 ,1 ,30 ,776 ,232211 
25,Odisha,5779215 ,327456 ,24417 ,1651 ,2233 ,30 ,68079 ,8173 ,33748 ,6245002 
26,Puducherry,294202 ,48173 ,6617 ,520 ,50055 ,0 ,6849 ,117 ,35539 ,442072 
27,Punjab,6207589 ,995942 ,103669 ,10160 ,3978 ,8 ,1254081 ,13898 ,821 ,8590146 
28,Rajasthan,10080087 ,1225234 ,251366 ,8666 ,15812 ,0 ,1308260 ,60439 ,40174 ,12990038 
29,Sikkim,81508,9663,721,0 ,796 ,0 ,0 ,0 ,415 ,93103 
30,Tamil Nadu,20130488 ,2799068 ,593560 ,5389 ,432953 ,27 ,2064453 ,242976 ,396808 ,26665722 
31,Telangana,8959104 ,1075278 ,79016 ,6236 ,66330 ,15 ,2022561 ,47231 ,59401 ,12315172 
32,Tripura,571775 ,52523 ,4346 ,759 ,1347 ,0 ,5368 ,4964 ,1917 ,642999 
33,Uttar Pradesh,13804128 ,1296589 ,187218 ,13632 ,7515 ,24 ,984209 ,14357 ,175762 ,16483434 
34,Uttarakhand,1739879 ,205479 ,9343 ,1627 ,939 ,1 ,1597 ,1308 ,29212 ,1989385 
35,West Bengal,17216355 ,1762688 ,161149 ,4046 ,29532 ,62 ,266013 ,10470 ,4560 ,19454875 
