,States_UTs,Domestic,Commercial,Industrial_LV,Industrial_HV,Public_Light,Traction,Agriculture,Public_Water,Miscellaneous,Total
0,Andaman and Nicobar Islands,103155.0,18364.0,546.0,0.0,642.0,0.0,258.0,0.0,62.0,123027.0
1,Andhra Pradesh,14074653.0,1215278.0,160884.0,5540.0,111465.0,67.0,1590859.0,67699.0,68954.0,17295399.0
2,Arunachal Pradesh,188597.0,22957.0,244.0,39.0,1637.0,0.0,17.0,0.0,258.0,213749.0
3,Assam,3690712.0,242031.0,15745.0,4235.0,1687.0,0.0,24501.0,4670.0,45747.0,4029328.0
4,Bihar,8846280.0,557167.0,41074.0,2035.0,955.0,22.0,159112.0,1599.0,687167.0,10295411.0
5,Chhattisgarh,3897703.0,310773.0,32291.0,1701.0,6145.0,21.0,473832.0,20636.0,49.0,4743151.0
6,Dadra and Nagar Haveli,57438.0,7586.0,2063.0,895.0,350.0,0.0,1263.0,358.0,347.0,70300.0
7,Daman and Diu,47403.0,7875.0,1755.0,799.0,571.0,0.0,1283.0,127.0,367.0,60180.0
8,Goa,484886.0,89263.0,6610.0,695.0,2844.0,0.0,10862.0,0.0,2708.0,597868.0
9,Gujarat,12717510.0,1851793.0,391266.0,11758.0,38973.0,17.0,1373237.0,79104.0,51932.0,16515590.0
10,Haryana,4569930.0,597063.0,87886.0,13302.0,2714.0,410.0,308706.0,20299.0,339648.0,5939958.0
11,Himachal Pradesh,1953211.0,260372.0,30692.0,3809.0,905.0,0.0,33586.0,0.0,41798.0,2324373.0
12,Jammu and Kashmir,1502250.0,199489.0,20726.0,13.0,279.0,0.0,20171.0,2549.0,11700.0,1757177.0
13,Jharkhand,2664693.0,171642.0,13852.0,1604.0,547.0,13.0,41783.0,488.0,31.0,2894653.0
14,Karnataka,17313323.0,2009392.0,416978.0,26218.0,136645.0,192.0,2516528.0,161360.0,668097.0,23248733.0
15,Kerala,9418838.0,2013863.0,142310.0,2137.0,20770.0,12.0,447816.0,5.0,2793.0,12048544.0
16,Lakshadweep,19615.0,3783.0,352.0,0.0,88.0,0.0,0.0,0.0,0.0,23838.0
17,Madhya Pradesh,9390966.0,921326.0,118995.0,4132.0,16974.0,2.0,2482277.0,37843.0,30333.0,13002848.0
18,Maharashtra,21574423.0,2493064.0,429484.0,13620.0,91512.0,32.0,4105255.0,53042.0,94395.0,28854827.0
19,Manipur,416348.0,16546.0,2315.0,98.0,492.0,0.0,64.0,180.0,731.0,436774.0
20,Meghalaya,322507.0,24067.0,835.0,135.0,57.0,0.0,23.0,400.0,66600.0,414624.0
21,Mizoram,188738.0,16350.0,783.0,18.0,1259.0,0.0,21.0,58.0,11900.0,219127.0
22,Nagaland,251173.0,21968.0,4677.0,0.0,621.0,0.0,1.0,34.0,1500.0,279974.0
23,Odisha,5940691.0,339927.0,24477.0,1682.0,2328.0,31.0,81813.0,8607.0,35524.0,6435080.0
24,Puducherry,321112.0,51460.0,6695.0,608.0,51297.0,0.0,6849.0,120.0,35539.0,473680.0
25,Punjab,6458427.0,1029306.0,106951.0,10471.0,4109.0,8.0,1351692.0,14477.0,521.0,8975962.0
26,Rajasthan,10084140.0,1147028.0,226671.0,9632.0,15631.0,21.0,1306088.0,57025.0,41260.0,12887496.0
27,Sikkim,94552.0,11308.0,246.0,1974.0,34.0,0.0,0.0,0.0,0.0,108114.0
28,Tamil Nadu,20793780.0,2879384.0,622007.0,5457.0,690752.0,30.0,2072753.0,0.0,441475.0,27505638.0
29,Telangana,9347924.0,1126190.0,80776.0,6044.0,70729.0,35.0,2169492.0,54058.0,61184.0,12916432.0
30,Tripura,611392.0,56019.0,4346.0,723.0,1912.0,0.0,5286.0,5553.0,2239.0,687470.0
31,Uttar Pradesh,15230021.0,1347354.0,184476.0,15155.0,5470.0,35.0,1100395.0,17770.0,177802.0,18078478.0
32,Uttarakhand,1739879.0,205479.0,9343.0,1627.0,939.0,1.0,1597.0,1308.0,29212.0,1989385.0
33,West Bengal,18204743.0,1891996.0,165289.0,3728.0,32376.0,75.0,287583.0,13057.0,4613.0,20603460.0
