,Northern Region,Southern Region,Eastern Region,North Eastern Region,Western Region,Total
2014,48943825.0,80969913.0,28969441.0,4715829.0,56878492.0,220477500.0
2015,53277916.0,88049723.0,30941268.0,5221443.0,59206628.0,236696978.0
2016,55096866.0,90154444.0,32939821.0,5579953.0,61666489.0,245437573.0
2017,51952829.0,93512264.0,40459745.0,6281046.0,63844764.0,256050648.0
2018,,,,,,
2019,,,,,,
2020,74662520.0,105050766.0,52849135.0,8639848.0,73220935.0,314423204.0
2021,75945897.0,108420898.0,54988054.0,8761121.0,75000071.0,323116041.0
